IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
31.56.227.49,2053,443,true,ARN,Europe,SE,Stockholm,206,3.73
46.8.230.253,8443,443,true,ARN,Europe,SE,Stockholm,190,3.28
31.56.113.117,443,443,true,ARN,Europe,SE,Stockholm,241,3.10
203.18.98.246,2053,443,true,ARN,Europe,SE,Stockholm,212,3.05
31.56.204.194,443,443,true,ARN,Europe,SE,Stockholm,220,2.99
31.56.206.159,2053,443,true,ARN,Europe,SE,Stockholm,206,2.93
45.38.170.239,2053,443,true,ARN,Europe,SE,Stockholm,209,2.82
31.59.41.99,8443,443,true,ARN,Europe,SE,Stockholm,208,2.77
31.57.93.204,443,443,true,ARN,Europe,SE,Stockholm,201,2.75
31.56.196.195,8443,443,true,ARN,Europe,SE,Stockholm,229,2.36
31.57.105.242,8443,443,true,ARN,Europe,SE,Stockholm,218,1.65
94.183.190.175,2053,443,true,ARN,Europe,SE,Stockholm,202,1.62
31.56.196.56,2053,443,true,ARN,Europe,SE,Stockholm,211,1.52
45.156.22.48,2053,443,true,ARN,Europe,SE,Stockholm,213,1.36
91.108.189.196,443,443,true,ARN,Europe,SE,Stockholm,215,1.00
45.91.193.35,2053,443,true,ARN,Europe,SE,Stockholm,200,1.00
31.57.105.39,8443,443,true,ARN,Europe,SE,Stockholm,415,0.84
31.56.113.65,443,443,true,ARN,Europe,SE,Stockholm,231,0.76
45.38.170.27,2053,443,true,ARN,Europe,SE,Stockholm,229,0.54
91.108.189.216,2053,443,true,ARN,Europe,SE,Stockholm,231,0.50
94.183.235.248,8443,443,true,ARN,Europe,SE,Stockholm,224,0.33
91.108.189.140,2053,443,true,ARN,Europe,SE,Stockholm,190,0.27
31.57.105.164,443,443,true,ARN,Europe,SE,Stockholm,198,0.26
46.8.230.217,2053,443,true,ARN,Europe,SE,Stockholm,199,0.24
31.56.196.195,2053,443,true,ARN,Europe,SE,Stockholm,217,0.23
172.232.129.211,443,443,true,ARN,Europe,SE,Stockholm,262,0.22
31.57.105.39,2053,443,true,ARN,Europe,SE,Stockholm,426,0.21
95.182.99.62,8443,443,true,ARN,Europe,SE,Stockholm,231,0.17
95.182.99.23,8443,443,true,ARN,Europe,SE,Stockholm,214,0.11
188.130.206.208,8443,443,true,ARN,Europe,SE,Stockholm,214,0.09
5.178.96.188,443,443,true,ARN,Europe,SE,Stockholm,225,0.06
91.149.219.230,8443,443,true,ARN,Europe,SE,Stockholm,202,0.05
91.149.219.230,2053,443,true,ARN,Europe,SE,Stockholm,229,0.05
91.149.254.40,443,443,true,ARN,Europe,SE,Stockholm,214,0.04
94.156.116.117,8443,443,true,ARN,Europe,SE,Stockholm,218,0.03
46.8.238.55,2053,443,true,ARN,Europe,SE,Stockholm,212,0.02
203.189.233.99,8080,8080,false,ARN,Europe,SE,Stockholm,266,0.02
79.76.54.96,443,443,true,ARN,Europe,SE,Stockholm,270,0.02
31.56.196.16,443,443,true,ARN,Europe,SE,Stockholm,204,0.00
